Frankie Goes To Hollywood,80s;pop;new wave;dance;british;synthpop;Frankie goes to Hollywood;electronic;party;relax;rock;synth pop;electronica;Disco;80's;1983;sex;classic rock;UK;zoolander;1984;upbeat;oldies;trevor horn;80s favorites;england;80s Pop;one hit wonder;favorites;male vocalists;britpop;80er;dance pop;80s y 90s;synth;performed on top of the pops;All time favourites;i am a party girl here is my soundtrack;alternative;liverpool;classic;gay gay gay gay gay;frankie goes to hollywood-Relax;uk number one;sexy groove;loved;synth-pop;FGTH;Awesome;fun;Soundtrack;miami vice soundtrack;sexy;Driving;1980s;80s-albums;work;Pitchfork 500;My 80s;oh du unheilvolle jugend;All Summer Long;Workout;1985;hot;Po-kraftwerkski;pflicht;catchy;Allgemein;top 2000;acclaimed music top 3000;Biken;Hintergrund;best of eighties;eighties;gta vice city stories;Best of;I love the 80s;this has eaten my brain;club;english;Favourites;agents of chaos;90s;favoritas;san francisco;5:30;7s80s;synth rock arranging;favouritestreamable;dance top;codausjyta;songs about gay sex;the wave 103;nuwavea;tyshkans music;unknown genre;the pitchfork 500;Master MASTER;var;nostalghia,Relax,TRKKCXB128F428E03B
Chairmen Of The Board,Old School soul;aint it funky,Chairman Of The Board,TRKKCSX128F93083B8
Dj Icey (Aka Fluppy),,Blue Horizon (LP Version),TRKKCMU128F14A52F7
Josh Canova,,The Only Way You Can,TRKKCJI12903D05D06
Emir Kusturica & The No Smoking Orchestra,balkan;folk;world;World Music;Gypsy;Fanfare Chiocarlia;kusturica;ingersgypsy;7low;buenno;fon;balcan;balkans;slavic folk;balkan and hungarian;ethno;Film Soundtrack;favorit;punk;night and day together;gypsy - emir kusturica and the no smoking orchestra - ja volim te jos;enteresaan;interessant,Ja volim te jos,TRKKCYL128F1452B65
Gabriel Lukosz,,Short Lived Thrills (Anthony Ross Remix),TRKKCTJ128F9305552
Angela Ro Ro,,Cheirando a Amor,TRKKCGR128F930C8DD
Federico Aubele,international sound,Te Quiero a Ti,TRKKCPE12903CE9D6C
Brooklyn Tabernacle Choir,worship;the watchman,I'll Give Him My Heart (with What Can I Give Him?),TRKKCKB128F4261F66
Nazareth,classic rock;rock;rock n roll;70s;Nazareth;cover;hard rock;Led Zeppelin;vezha;rock favorito;rock is hard;rock-baladas-rock;privat;please let there be my kind of music - heavy music;right on;Mis Artistas Favoritos;rum;tag de mira ceti;live version;ass kicking;classic metal;On-U Sound;huh;Scottish;melodic metal;Acoustic Rock;Rock and Roll;guitar;sufu5a;sex and drugs and rock and roll;MGK;Nazaret- cocain;mlfb,Cocaine (Live),TRKKCJC12903CB915C
Fluke,,Groovy Feeling (Lolly Gobble Choc Bomb),TRKKCYL128F4280FCE
Donald Byrd,,A Portrait Of Jennie (Live),TRKKCEE128F932E33D
Osvaldo Nugroho,,Mystified,TRKKCIY128F930D8DF
Desimal,Drum and bass;neurofunk;glitch;dnb;scifi;stepantonyoffice;OBBESSIONS;OBSE;circle on nine;futin favorite dnb;Desimal;neuro;mushy;drum 'n' bass;stomping;bse;dark;electronica;zyrotechira;chillout,Circle of Nine,TRKKCOW12903CB85B5
Sister Hazel,,Take It Back (Album),TRKKCBL128F933D3CC
Ben Tankard,,How Great Is Our God,TRKKCRO128F9316664
Carmen Lundy,,Better Days (Live, Mixed iin 5.1 Surround),TRKKCDU128F93323A5
Fabio & Glitter Klinik,,Transfusiones,TRKKCDT128F931DAAF
鄭秀文,ten now,Mei Fei Se Wu,TRKKCGH128F1483D9C
The Cranberries,rock;irish;female vocalists;alternative rock;female vocalist;The Cranberries;alternative;celtic;90s;celtic rock;pop;indie;cranberries;riot grrrl;britpop;Awesome;soft rock;classic rock;chill music;00s;childhood;My Favorites;favorite songs;slgdmbestof;pop rock;loud;Love;old favorite;Empowering;touch;tagged;4;ROX LIKE WOOO;my favorite tracks;alterindie;uber;RM;muka muka;fon;indie guitar rock;xynod;rockear;500 essential songs;gemmydragon;dzordzowo;mb-rock;maz35s rock;maz35rated4;80s;Favorite;female;Favourite Songs;beautiful;favorites;sad;female vocals;ireland;mood;Female Voices;favourite;great;Europe;strange;feliz;irish rock;Hope;alt rock;fun stuff;guitar;bliss;seen live;Vocalistas Femeninas;singer-songwriter;girlpower;3,This Is The Day,TRKKCRN128F145FB36
Tommy Smith,,Lynx,TRKKCRD128F92FF8CE
The Veils,rock;indie;birthday presents;transittranquille;understated greatness;at ease;beautiful melodies;presents;birthdays;the Veils;popular;male vocals;fav;melancholy;New Zealand;summer;indie rock;blues,A Birthday Present,TRKKCHL128F4281D0B
Motörhead,heavy metal;metal;rock n roll;hard rock;Motorhead;Rock and Roll;rock;speed metal;Rock 'n' Roll;NWOBHM;yeah;british;ass kicking;classic rock;Awesome Guitar Jams;Rokkiva;Rock n Metal;metal anthem;Musicas favoritas;amazing solo;rock favorites;eu;rr;rock and heavy;lemmy;rockNrollMyLoF;rock is hard;garten metal;keep on rocking;otro temaso;motorheadache;raise yer brews;LemmyisGod;diow;Titletracks;Best Fucking Lyrics;TrashMyHeadacheAway;true metal gods;80s;guitar;RAWK;punk;classic;UK;true metal;hardrock;My Favorites;old school;headbanging;Metal Gods;speedrock;heavy rock;favorite song;best songs ever;male vocalists;Heavy Rock n Roll;classic hard rock;fuck yeah;hard-n-heavy;metal punk;seen live;New Wave of British Heavy Metal;rnr mtrh,Rock 'N' Roll,TRKKCLI128F9308E0E
Kato,,Blue People,TRKKCIW128F93649C1
Pigeon John,west coast;Hip-Hop;Quannum;Pigeon John;hip hop head;met;bay area underground;super cres;acisgr8,Clueless,TRKKCMG12903CDD915
Inmates,,Skummy/ Public Execution,TRKKCIB128F930FA98
Dottie Peoples,worship;gospel;black gospel;Contemporary Gospel Tag;GOSPEL CHURCH,God Can,TRKKCOB12903CDE6CD
The House Of Love,1990s;indie;rock;favourite;90s;four;RockPop;labs;Englishness;diezgan labs;british i like;new wave;Sousaphonic AOTM 201102,Shake And Crawl,TRKKCSW128F145AB8C
Dyango,,Vuela Conmigo,TRKKCGT128F425A54F
Yumuri y Sus Hermanos,,Canallón,TRKKCYT128F426F399
Bill Bruford's Earthworks,jazz;Fusion;loved;rock;Progressive;Hard;jazz fusion;1987;Bill Bruford;jazz drummer;Earthworks;quarkzangsun;quarkzangsun v1;quarkzangsun p5;quarkzangsun loved,Pressure,TRKKCHG128F425FFBA
Marmoset,,Beyon Del Mar,TRKKCVZ128F14B13E6
Lampshade,danish;indie;female vocalists,Disse Fugle,TRKKCJG128F4260FB1
Blood for Blood,hardcore;Dope;Gonna fuck you up;seen live,Redemption Denied,TRKKCPQ128F92DF6F6
Qiu Shengrong; Tan Fuying; Zhang Junqiu,over twenty minutes,Protecting The Nation,TRKKCII128F93443F4
3rd Bass,hip hop;brain2brain,Russell Rush,TRKKQZO128F14774B8
Current 93,apocalyptic folk;experimental;neofolk;Dreamy;goosebumps;industrial;dark;Rose McDowall;David Tibet;impossible for liberals to deal with;maya express;answers on the ceiling,Black Flowers Please,TRKKQFN128F92D5FF1
Kapanga,,Bailarín Asesino,TRKKQFJ128F42919A1
A Silent Film,,Feather White,TRKKQKS128F92C5946
Little Eva,pop;girl group;oldies;doo wop;cover songs;60s;female vocalists;old but good;doowop;handclaps;Carole King;BREAKING UP IS HARD TO DO-LITTLE EVA;skeive skiver,Breaking Up Is Hard To Do,TRKKQGQ128F14A5768
Cock Sparrer,,Sunday Stripper (Live - SF 2000),TRKKQWS12903CCA34E
The Doors,no women no cry,Jim Introduces The Movie [Live At The Aquarius - The Second Performance] (LP Version),TRKKQHC128F14972C2
Caballo Dorado,,Amargo como el café,TRKKQYI128F42395B5
Acker Bilk,instrumental;acker bilk,Lady in Red,TRKKQPW128F4249C25
David Rose,,Last Call For Love,TRKKQCS128F92DC10C
David Evans;John Cameron Mitchell;Dennis Parlato;Michele Pawk,,Listen To The Music (Scene Six: The Husband and The Young Thing),TRKKQSI128F428EFF7
Toots Thielemans,brazilian;pure genius,Oceano,TRKKQYD128F428AF77
New Order,new wave;electronic;post-punk;synthpop;80s;new order;alternative;fucking great;rock;love at first listen;3 and a half stars;Brit indie;Post punk;british;factory records;music to drive by;nice vocals;live albums;adrien wayne;80s guitar;tunes i have played for hours;the word paradise;remaster;lead singer incapacitated by drink;song title not in the lyrics;Lou favs;upbeat;Favorite;Manchester;synth-pop;loved tracks;cyberpunk;factory;music to make love to;dance;alternative rock;House;dance pop;techno;synth pop;alternativo rock;will love this track until the day I die;new;retro hell;mystinen;kaipaava;sovitteleva,Paradise,TRKKQWV128F92EB94C
Erin O'Donnell,,Overcome (Wide Wide World Album Version),TRKKQAQ128F14AE3A2
Illumination,party;chill out,Sometimes Almost Heaven,TRKKQUT12903D0ABDD
Leo Gandelman,,Lamentos,TRKKQJG128F1472A97
LAW,,I Don't Mind,TRKKQKD128F42AC554
The Meters,,Honky Tonk Woman (Album Version),TRKKQRM128F147EE14
Tim Hecker,electronic;nostalgic;prda;Gorgeous ambient;want;Tim Hecker;ambient electronic;11111111111;psychill;alien 8;Favourites;relaxing;substractif;Sleep;night;Curio;emd;october;Rainy Day;winter;glitch;experimental;ambient,October,TRKKQOV128F425A77E
Bloodhound Gang,rock;alternative;dance;alternative rock;comedy;sex;90s;Bloodhound Gang;pop;funny;punk;fun;party;The Bad Touch;punk rock;sexy;american;Hip-Hop;00s;humor;catchy;rapcore;1999;crossover;favorites;rap;Disco;silly;electronic;Awesome;best;humour;discovery channel;favourite;Comedy Rock;classic;Guilty Pleasures;guilty pleasure;bad touch;dirty;Bloodhound Gang - The Bad Touch;hip hop;lol;2000;USA;memories;positive;techno;cool;hooray for boobies;Makes Me Smile;sing along;Favourites;humorous;alternative rap;male vocalists;pop rock;beautiful;sexual innuendo;songs i like;parody;childhood;electronica;Favourite Songs;male vocals;good dirty fun;old good songs;feelgood;indie;fun rock;Good Stuff;hot;hilarious;catchy as hell;tv;One Hit Wonders;FUCKING AWESOME;daylight savings time;feel good;upbeat;good;Pennsylvania;electro;1990;weird;songs that got me into the band;bass playlist;novelty;college;Top of Rock;horny;90s pop;cheesy;mammals;Grunge;headbopping tunes;dance top;radioultra;boskie;fine tune,The Bad Touch,TRKKQGM128F93351C3
Filthy Dukes,audioase;catchy;electroclashythiepop;my gang 09;can NEVER get tired of;love from first listen;superslordig;slordig;shake your tush;cool party;best intro;dark glitter rush;Getting ready to go out;epic as fuck;need to check out;indietronics;check later;Awesome;indietronica;indie;electronic;welove2008;dance;sss;electropop;fabric;electonica;electro;rap,Tupac Robot Club Rock,TRKKQTH12903CD2E28
Helena Paparizou,female vocalists;pop;electronic;synth;Greek;synthesizer;synthesiser;strong female vocal,Mesa Sti Fotia Sou,TRKKQXI128F42A3818
Paquito Guzman,latin,Dile,TRKKQJW128EF35AE0E
4FT Fingers,punk rock,Emergency Manoeuvre,TRKKQYC128F42802A8
Madlib,Hip-Hop;Jazz Hop;hip hop;jazz;underground hip-hop;Madlib;instrumental;Stones throw;turntablism;groove;underground hip hop;instrumental hip hop;acid jazz;stonesthrow;scratch;lounge;2003;downtempo;turntable;California;00s hip hop;00s;alternative hip-hop;downbeat;groovilicious;blue note;jazz Groove;Mellow;favourite;hiphop;verrueckte lippe;trip-hop;jazzy;jazz remix;marijuana music;Knowledge Reigns Supreme Over Nearly Everybody;music producer;ffmradio;electronic-lounge;dj lord such;my day on the couch;ffmrhip;hophop;MINCHIA CHE DISCO FIGO;rock top soundscapes;TurntableFm01;some oldschool;rock top;mjcrbt hip-hop;return;dawardochnoch;hip hop instrumental;BuyMe;21st century;trip-hip-hop;down for whatever;top rated tracks;good video;Jazz do bom;Werd son;party back;gtg:underground jazz hop;HipHopJazz;nu jazz do bom;music for people with superior taste in music;nerdy hip hop;justBert-hiphop;justBert;streetriding;charades spring fever;undergroundhip-hop;surprising fire;massive destruction;dope like fuckin heroin;Nu-Bluz Funky Grooves in the E-Lounge;fell in love with this;Crici;don m;FFMRADIONEW;thats the sound;good shiit;Avant-Garde Music;hip hop feinkost;citywalker;Ion B radio;1990s;rap;nu jazz;mashup;singer-songwriter;2000s;nu-jazz;fun;relaxed;film;samples;my fav;cool;alternative;independent,Slim's Return,TRKKQDK128F4268778
Diablo,Melodic Death Metal;metal;finnish;death metal;finnish metal;diablo;nordic metal;aggressive;heavy metal;melodic metal;perkele;Melodic Thrash Metal;simerock 2007;Ruojis arvostaa;simerock 2008;Arska;heard on lastfm;hedelmat ja vihannekset;Many bands i like;LongDayEdition;raskaampaa;Finnish music;suomalaista;raskas;Headbang;Black;Suomi;melodic;death;Progressive metal;rock;seen live;3-star,Damien,TRKKQQB128F14812CA
The Misted Muppet,psytrance,Machine Forest,TRKKQBS12903CE9C71
Laleh,chillout;folk;swedish;pop;Calming;Persian;vackert;grymt;general pop;nattsudd;inte svenska eller engelska,Der Yek Goshe,TRKKQDO128F4242C54
Silver Sun,rock,Fallen,TRKKQYX128F1495646
Havana Black,,Seagull (2007 Digital Remaster),TRKKQUZ128F4299CAE
Sérgio Mendes,,You and I,TRKKQXF12903CEBAEF
Yolanda Del Rio,,Por Orgullo (El Siniestro),TRKKQZR128F9347BAD
Juan Gotti,,No Mas No Mas,TRKKQER128F933D64A
Jorge Ben,,Medley: A Minha Menina / Que Maravilha / Zazueira,TRKKQGD128F9312478
Seguridad Social,spanish;reggae,Desierto De Amor,TRKKQWU128E07962D1
The Benjamin Gate,,This Is Not (Contact Album Version),TRKKQTT128E0784B28
X,rock;punk;la punk;vvvvv;sweet california;guitar post punk;classic los angeles band;best song evah;memoir;I covered it;wish she was my sister;present participle;wish he was my brother;formative tune;I mean really;songs of ice and fire;mother american night;neatneatneat;Alt-country;americana;alternative;punk rock;Post punk;college rock;alternative pop rock;american underground;American Punk;literary;new folk;loved;tension;REALLY love;friendsofthekingofrummelpop;Papakonstantinou;nice version;the best of the la music scene;80s,Burning House Of Love,TRKKQNC128F149EBEE
Alberta,,Ist dein herz noch frei,TRKKQEG12903CBC329
Virus Syndicate,Grime;dubstep,Bitch,TRKKQGT128F92DC760
Royal Flush,,Wastelandz,TRKKQKB128F92F8817
The Fresh & Onlys,,Happy To Be Living,TRKKQCZ128F9306462
Mojo Nixon,psychobilly;punk;conservative;rockabilly;cow-punk;rock;country;alternative;favorites,Gonna Be a New World,TRKKQNB128F428F974
Kotaro Oshio,,Cherry Blossom Time,TRKKQKZ128F4254785
No se lo digas a mamá,pop;no se lo digas a mama,Abierta la ventana,TRKKFEK128F42765C0
Lil Mama,,Truly In Love,TRKKFBE128F92C48D7
Gordon MacRae,,The Sound Of Music,TRKKFZK128F93400D5
Slow Club,acoustic;when i go;cute;folk;duets;Rainy Day;someone please sing this to me;Love;Makes Me Smile;downtempo;beautiful;amazing;mushy;british;try it;indie;Chuck;i choo-choo-choose you;maybe someday;folksy deliciousness;reminds me of someone;that feeling i get like my hearts going to collapse with joy;the lows are so extreme that the goods are fucking cheap;unspeakably lovely;life is but a dream;tweelicious;like it as it is;adorable whimsy;Do You Want The Truth Or Something Beautiful;lytte mer;gokyer tune;pop;singer-songwriter;indie pop;twee;sweet;Dreamy;marriage;harmonies;love the lyrics;songs that make me happy;save;love at first listen;whistle;just lovely;Banana pancakes;whistles;Gottolistenthisagain;lizvelrene2009;smilez;2009;bluberrypancakes;a quiet warmth;wide and bright;HennisMerkliste,When I Go,TRKKFER12903CE2A1C
Tieum,Gabber;hardcore,Some pussy,TRKKFEQ128F930A925
The Upsetters,beyondwithins party;dub;lovedbybeyondwithin;party;reggae;beyondwithins dubbermost;trojan;dubbermost;2002;heinz et edith;easy skankin dub,Kingdom Of Dub,TRKKFGB12903D0197D
Megapolis,,Volga,TRKKFWG128F14A7E09
The Ordinary Boys,acoustic;cover;covers;indie;things-i-love;Live Lounge Cover;crazy covers;coovers;bpluscoop;the ordinary boys;Fantasterific;russian shit;funny cover;listen never stop;This is not enough;audioeric-fm;jerrystroke;refreshing voice;rockear suave;atomm-r;funny;alternative rock;Funk Rock;my love;best music;favorite indie;Version;cover track;nice try;follow-up;Real Good Music;Soft Indie;00s;indie rock;top2coop;just as good;alternative;britpop;lando1,All the Things She Said,TRKKFQD128F1482B82
Gilbert Bécaud,,Du Sable Dans Mes Mains,TRKKFOS128F429408A
Gigliola Cinquetti,female vocalists;interpreti italiane,Lucciole Vagabonde,TRKKFDV128E078B366
Ann Bell Fell,,RUNNING IN THE RAIN (FEATURING FRANKEE MO),TRKKFWR128F4275BD2
Ramesses,DOOMMM;Doom;FUCKING AWESOME;kick ass;Killer riff;blacker than the blackest black times infinity;stoned and heavy as fuck;kicks posers ass;no drugs no masters;slammin beatz,Before the Jackals,TRKKFWO128F9339920
Marc Cohn,singer-songwriter;rock;classic rock;folk rock;dawsons creek;marc cohn;marc cohn healing hands,Healing Hands (RemasteredLP Version),TRKKFZM128F147B835
Hoyt Axton,,Five Hundred Miles - Original,TRKKFYO128F933CFE3
David Gunson,david;david gunson,What Goes Up Might Come Down!,TRKKFUH128F92E312B
My Dad Is Dead,,Old Friends,TRKKFTX12903CC1983
Volumen Cero,Trash;basura;vive latino;banmidou and prettyukina hits around the world;mieda,Autos,TRKKFJW128F1496A80
Jelly Roll Kings,blues,Honeydrippin' Boogie,TRKKFUB128F4220404
Cosmic Baby,,Cosmikk Trigger 2,TRKKFSO128F4284C5B
Cursor Miner,Uncharted Audio;fraggleRocks,Virus,TRKKFJP12903D0C5EF
Lemonade,ambient;beats;abstract;hallucinogenic,Blissout,TRKKFVE128F931916E
Brick,,Lynnard,TRKKFWF12903CE2A2E
Chatham County Line,,Rumination,TRKKFBN128F9314366
Let's Go Bowling,ska,Oatmeal for X-Mas,TRKKFEA128F424BDD4
Bigod 20,industrial;atomheart23,Be Liquid,TRKKFSY128F4292E5A
Stereo De Luxe,,Your Sweat,TRKKFKT128F92E0593
Earl King,,Love Look Out for Me,TRKKFCE128F421F17C
Gatsby's American Dream,Progressive rock;rock;punk;indie;power pop;emo;indie rock;punk rock;new music;best of 05;360shift;The best tracks in the whole f-ing world;pach-rro;seen live,Pompeii,TRKKFDC128F429B057
Fair Weather,,You Ain't No Friend,TRKKFBJ12903CA2184
Evergreen Terrace,hardcore;metalcore,Untitled,TRKKFOX12903CB039A
Royal Philharmonic Orchestra/Yuri Temirkanov,,Spartacus - Excerpts from the ballet: Scene and Dance,TRKKFTW128F425FE48
Love Unlimited,soul;female vocals;sensual;musical journey;female fronted vocals;favouritestreamable;topfavouritestreamable;favouritesoul;fmera pop;fmera fave;topfavouritesoul;kmem6600;soul and rnb classics,Share A Little Love In Your Heart,TRKKFAX128F425C99E
Eldad Tarmu,,Minor Burns,TRKKFLT128F9302C9F
Gonzalo Rubalcaba,jazz;Gonzalo Rubalcaba;j4zz13;p14n0 j4zz,Peace,TRKKFNB128F424B5F0
Ernie K-Doe,heard on Pandora,Make You Love Me,TRKKFUX128F9313E03
Bamberg Symphony Orchestra & Hans Swarowsky,Classical,Symphony No. 4 in A Major, Op. 90, "Italian": III. Con moto moderato,TRKKFXV128F427B00E
Kevin Koelbl,,Silent Night,TRKKFYA128F92FFA87
Bobby Womack,soul;classic soul,Copper Kettle,TRKKFXI128F423F5A5
Goldfinger,punk;rock;punk rock;ska punk;California Punk;ami punk,My Everything (Album Version),TRKKFYK128E078DB90
Son of a Plumber,pop;euro-pop;adult contemporary;COMMUNISTS;Mostly for kids i guess;scary people;Charles Bronson rules;darin;gesslemania;swedish pop/rock;Kapten Kermit;darin sing-a-like;ugly haircut;songs that make me go HMM what-the-f-ck;son of a Plumber-late;later on,Late, Later On,TRKKFLW128F4282AC2
Bass Unlimited,,Rush,TRKKFLX128F424601B
Theory of a Deadman,rock;alternative rock;alternative;Fahrenheit;Soundtrack;post-grunge;Canadian;santa monica;hard rock;Theory of a Dead Man;emotional;Indigo Prophecy;sad;Love this song;video game music;favorite songs;favorites;melancholic;Grunge;Awesome;Monica;game soundtracks;names;acoustic;Favorite;melancholy;guitar;brilliant;00s;indie rock;great;chillout;radioultra;awesome lyrics;pop;good;book cafe;rock fahrenheit soundtrack indigo prophecy;Favourites;love to sing;loved;girls name;Relaks;bad ass motherfuckers;Living Things;Kicks ass;soft and sweet;Alternative Chick;Exceptional KSI;Alter;About You;buy this;OK Music;storm;kick ass song;impressive;pretty pretty;bad ass;likeable indeed;top songs;last song of Fahrenheit;fahrenheit soundtrack indigo prophecy game;Amys Favorites;yirim yirim;Nachmittags-Dudel-Musik;fav jams man;nichtrumschreimugge;so sad yet so beautiful;M Mix;deep thoughts;voice with feeling;kappe silence;megum852;cures my soul;JoseHector;painful sweetness;syn rock;Santa monica awesome;forever favorite;sound storm;kjirbiisha muuzika;over you;alternative modern;That bangin track of Fahrenheit;Awsom;Amaranth;location location location;daniel adair;You Me and this song;theory of a dead man santa monica;road trip;perfect;Canadian rock;my fav songs;mood;dark;laid back;vocals;Kelly Clarkson;best,Santa Monica,TRKKFPH128F427B9A2
Cyndi Lauper,cyndi lauper;female vocalist;pop;summer 2009;singer-songwriter;dance;fall 2009;2009;vocalization;favorite by this singer;life song;summer soundtrack;flashy;united states of america;sleek;real;robyn;Pop-Rock;pretty;Favourite Songs;female;feel good;american;USA;female vocal;electronic;House;electropop;seen live,Grab A Hold,TRKKFZK128F425B153
Toots and the Maytals,rock,Let The Four Winds Blow,TRKKFCF128F423644F
Crazy,,Women In Pan,TRKKFYB12903D08739
Nicky B,,we'll be rockin,TRKKFLA12903CC7B60
Grafh,,All The Way Live (Feat. Prinz),TRKKFFH128F933F2DD
Cripple Bastards,hategrind,Implacabile Verso Il Suo Buio,TRKKFFP128F933EAF4
Lemon Sun,,Stranger,TRKKFLZ128F429606F
Richard Rodgers,frank sinatra;showtunes;50s;rodgers;showtune46,You'll Never Walk Alone,TRKKFJB128F934198B
Rev Run,run dmc,Don't Stop Y'All,TRKKFFY128F92FAD5D
The Pastels,lovedbybeyondwithin;gdchills90s;glasgow is the musical centre of the universe;for dancing with the one I love;emo boy;indie rock favs;mmm2;indie favs;indielove;Good Stuff;indie pop;indie;rock;1993;scottish pop;90s;summer;my frog is flowery;20th Century,Sometimes I Think About You,TRKKFPD128F4247949
Heraldo do Monte,,Darlene Triste,TRKKFXJ128F42B39DE
Hide The Knives,,Care,TRKKFWR128F92E2B9C
Racey,oldies;70er;70s;racey;rock;classic rock;special to me songs;kathilieb;flower-power;skok;oldie;70's;motown;glam rock;beat;50s;best;music;british;60s;cover;pop;covers;soul;jive;Rock and Roll;1981;3;tanzmusik;not the original;rnr,Runaround Sue,TRKKFQT12903CEC41E
Vanessa Paradis,2 f4k;90s;1990s;pop;world;colours;Mael;Unexpected duets,Silver And Gold,TRKKBBZ128F429A1ED
Bullet For My Valentine,metalcore;metal;emocore;screamo;emo;bullet for my valentine;hardcore;rock;hard rock;heavy metal;Nu Metal;alternative rock;alternative;tears dont fall;alternative metal;melodic metalcore;BFMV;Awesome;Love it;Favourite Songs;amazing;<3;I love this song;british;punk;sad;rock-metal;favorites;punk rock;Emo rock;Love;favourite;emotional;best damn song ever;Melodic Death Metal;Favourites;cool;Bullet for my Valentine - Tears Dont Fall;melodic hardcore;post hardcore;beautiful;no emo;bullet;Way my favourite in the fucking world;Metal songs;true lyrics;welsh;Gothic Rock;great;kicking ass;heavy;Tears;post-hardcore;memories;emotive;loved tracks;Emo Screamo;Guitar pwnage;epic as fuck;on repeat;sends shivers down my spine;my favourite songs;love songs;Soundtrack Of My Life;numetal;trash metal;FUCKING AWESOME;favourite tracks;mocne;songs that i will still be listening to in a billion years;Metal Core;nice;male vocalists;favorite songs;Awesome solo;shout;fall;whatever I say;Favorite;Awsom;kick-ass solo;a song i could die for;dont;mellow its not;good;not emo;b;TDF;thrash;aaa;f;badass;Pathetic;hot;Bullet owns;thrash metal;fucking good;fuck you this rules okay;loud;uk metal,Tears Don't Fall,TRKKBJS128F92EF7D2
Eoghan Heaslip,Contemporary Praise and Worship,Holy Is the Lord,TRKKBVC128F9313B9C
New Fast Automatic Daffodils,rock;1990s;interlude,What Kind of Hell Is This?,TRKKBBG128F4243F0D
Glen Campbell,,Last Thing On My Mind,TRKKBGA128F428FE41
Rio Reiser,deutsch;liedermacher;RIO;german;Deutschrock;deutschland;songs die so gut sind das ich meiner oma ihr klein haeuschen zwar nicht verkaufen aber zumindest dafuer beleihen wuerde;80s;live;Willis;heimsender;sailors and pirates;rio reiser;klassiker;zum mit singen;friendsofthekingofrummelpop,Blinder Passagier,TRKKBAC12903CFB7D5
Chris Garneau,The Devil and The Deep Blue Sea;Teh Typos;ThrowAway Grrls;The Merch Grrls;Just Another Folk Singer;mystie chamberlin;the way you look;Chris Garneau;6am;male vocalists;soft;melancholy;comforting;melancholic;depressing;beautiful;english;indie pop;indie;Mellow,The Cats & Kids,TRKKBWB128F933631A
98 Mute,,Wounds,TRKKBBI128F425CECE
Statuesque,,Suit of Armour,TRKKBNR128F92F0200
Ghoti Hook,,The Box (Reprise),TRKKBDC128F427B9BC
Herbert von Karajan/Wiener Philharmoniker/Hildegard Behrens/Karl-Walter Böhm/Agnes Baltsa/José van Dam/Wieslaw Ochman/Heljä Angervo/Heinz Zednik/David Knutson/Martin Vantin/Gerhard Unger/Erich Kunz/Jules Bastin/Dieter Ellenbeck/Gerd Nienstedt/Kurt Rydl/He,,Salome (1999 Digital Remaster): Wo ist Salome? Wo ist die Prinzessin?,TRKKBUI128F42B04F4
Johnny Winter,blues rock;blues;rock;hard rock;cover;rolling stones cover;electric blues;male vocalist;guitar virtuoso;allboutguitar;classic rock;allboutGuitar Lesson;allboutGuitarcom;Gitarrenunterricht;allboutGuitar Hamburg;through the woods to deliver food to the sick grandmother;stonedbeat;Escolhidas;grandes temas;otro temaso;buena mierda;versiones;Karlsruhe;awsome guitar solos;blues guitar;rolling stones;Classic Blues;garage;covers;Driving;Psychedelic Rock;guitar;proper rock;cover:rolling stones,Jumpin' Jack Flash,TRKKBOL128F426B18E
Spice Girls,pop;Spice Girls;favorite by this group;romantic tension;classic;coy;sleek;attitude;influential;all of my songs;female vocalists;Weekend Love;girl power;british;Love;posh spice;Spice Up Your Life;rap;kot;darkchild;baby spice;Resistance is fucking futile u will be assimilated;melanie brown;scary spice;melanie chisholm;Spice Girls - Weekend love;G-A-R-Love;nikki;female vocalist;sexy;jahnetnatalia;no geri;90s;Ballad;catchy;00s;Spice;2000;female;girl band;life;rnb;britpop;Empowering;Emma Bunton;victoria beckham;dance;feriado;Sporty Spice;omg;you make me wish i was deaf;mine;definitely NOT irish punk,Weekend Love,TRKKBTV128F4298339
Cat Power,female vocalists;indie;folk;singer-songwriter;indie rock;rock;beautiful;Cat Power;alternative;piano;names;melancholy;chill;indie folk;Awesome;songs I absolutely love;duyster;female vocalist;acoustic;Mellow;sexy;easy listening;melancholic;music to fall asleep to;americana;name;songs of mine;more than just a song;late night tales;telling stories;tim festival;janeiro;what i will still be listening to when i am old;For The Road;beautiful melodies;freshman year 08-09 memories;i had to change my pants after this song;I WANT TO FUCK THIS SONG;love to death;pop-art;best of 2006;repeatrepeatrepeat;leapsandlevy;prda;Suspire;damage;Musical orgasm;more please;country shuffle;astonishing;just relax;therapeutic;oh how i love this song;obsessive;you;this is SO me;Alternativas;drowning out the voices in my head;stupid emo-y shit that i can love if im in the right mood;bm4famkez;jumping green;paisajes;elegidas;elegida;melodnsound;specialcountry;spclcountry;spclsound;Female Jazz Blues;pnp;fevereiro;hot and muggy late night summer driving music;Name Dropping;great words;songs that make me want to cry;songs you like immediately;long walks into bright nights under birds under skies;baller;the perfect song;easy now;welcome home darlin;best fucking track ever;ortaya karisik;sunset biotifoul cocktail car;leve;tolle frauen;songs to hear before you die;sweet folk;soul disaster;singer;peaceful;good music;girls;sadcore;Reflective;nostalgic;sleepy;Dreamy;lyrics;yeah,Willie,TRKKBOF128F42988BA
